baitChr	baitStart	baitEnd	baitID	baitName	oeChr	oeStart	oeEnd	oeID	oeName	dist	Mon	Mac0	Mac1	Mac2	Neu	MK	EP	Ery	FoeT	nCD4	tCD4	aCD4	naCD4	nCD8	tCD8	nB	tB	clusterID	clusterPostProb
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5296895	5300249	103480	.	51626	0.811202857756792	0.886016388391199	0.960784304053829	1.13033372095047	1.03124153051705	6.11436932715561	0.604360246458982	3.83999164693857	1.40263548302258	1.10430605889717	1.2534505790823	0.781878178995631	1.48455248865888	0.721601557369813	0.821849951730447	1.34415812206923	1.17544607553692	33	0.807
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5300250	5302169	103481	.	54264	0.790901789142025	1.26285383221242	1.35444588579207	1.62659504458118	1.47356842999323	6.15022794372949	0.900282434034318	3.10405096161504	1.67665978057189	1.26832286934411	1.26517165132995	1.16678442260518	0.91992356764547	1.12196411184944	1.30002888706746	1.21460482459909	0.555024463392791	33	0.953
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5302170	5304495	103482	.	56387	0.846380375892379	0.874330126948146	1.14787738447209	1.16437537722235	1.10445220137759	6.50117792494257	0.713284228594021	5.38764110594516	1.64514305780466	0.952170345540527	0.865072024646559	1.13611581401433	1.57876406820617	0.965552965760316	1.53997665885923	1.05127438060566	0.94009477544298	33	0.887
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5304496	5305481	103483	.	58043	1.21508079554513	1.35611786322386	1.2455622526854	1.68415713122511	1.05194634397734	7.10534061022687	1.09841478516056	5.72598197768497	1.15187334175359	1.73310053534602	1.52528840045601	1.31325790825138	1.65235980317241	0.684043633800482	0.88486468077964	1.77020224868682	1.20030845758494	33	0.95
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5305482	5307387	103484	.	59489	1.26551194042862	1.08350386363055	1.03138132779013	1.83427281237224	0.987907755420086	7.18544522141204	0.865363208685564	6.54562306360118	2.48287329012339	1.05038963210436	1.25822218640625	1.13041231232053	1.58237203557177	1.06476266442825	1.06640465342257	0.820806439523479	0.924879659858452	33	0.942
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5307388	5310696	103485	.	62096	1.61307096604415	1.14301839698542	1.3916079560672	1.44717871060667	1.0713592162072	7.80689779548171	1.14749750281844	8.22792765988397	0.77974981920823	1.13461605002499	0.922865184792525	0.755882147023617	1.28281515243905	1.0206965126295	1.00051417275357	0.976825796603314	0.500193044937942	33	0.941
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5310697	5313349	103486	.	65077	1.59850585601088	1.31029720662413	1.2409315096844	1.92156620755989	0.922628853428225	7.57714780842986	1.3967283107555	7.6466922742151	0.993921407439914	1.55987124543519	1.58382920180853	1.19168229044643	1.67089719832624	1.54101771037178	1.2485877347513	1.7938653819822	1.57465534028056	33	0.905
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5319695	5321716	103491	.	73760	1.30863404724439	0.651314190907313	1.62684829853668	1.69011443207305	1.02560743189341	8.13194155260645	1.24500762893437	5.45656225160241	1.04923735939405	0.994758719447714	1.07216318798354	1.17729898799726	1.52002656569116	1.38084555352001	1.74134946886065	1.46872932169922	1.18261341881828	33	0.956
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5371932	5376335	103513	.	127188	0.288936669420289	1.22942035393661	1.02573640943484	1.90668198301345	0.903968313303074	1.00528025581101	1.08876880517789	5.15739858013502	1.13721682463615	1.30562354574517	0.902955981490559	1.29271203174069	1.18686787745995	0.578280457162655	0.852846316203716	0.715932964965242	0.666263930311852	33	0.671
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5384337	5385183	103517	.	137814	0.934564770449129	1.57516343258257	1.54541642321901	1.96041270987504	1.28705152231423	5.85529694103087	1.22818544848349	4.97494445023918	0.997434461826701	0.700981767668556	0.860248138275295	1.03234966733039	0.275067331757493	0.546890318156815	0.964481992318023	1.06200892895088	0.655424809411731	33	0.934
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5386978	5389271	103519	.	141179	0.969575702345183	1.60122867753184	1.88811309349942	2.43485043434691	1.43646335442557	5.52432970296038	2.42722258843173	6.79545125018917	1.31869480986006	1.52051655801158	0.685606877509083	1.07272118661262	1.49791705469771	1.05163254721229	0.886050895882632	0.770073327507451	0.680856351749294	33	0.996
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5389272	5390020	103520	.	142700	1.50716937625147	2.53268244658981	2.12424132015161	2.26780366516717	0.367539316910408	6.19542954131172	1.85984108094921	8.97803433564339	1.64955033028242	1.65989221902696	1.63075475254425	0.60932750499792	0.96320713068392	0.0832016525116854	0.900685062564224	0.62051128946536	0.498101050777465	33	0.991
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5390021	5391945	103521	.	144037	1.66632690901029	2.00818165319227	3.48110501408561	3.59686265497199	1.48165774503894	5.90507691096734	2.73388559392172	6.69235202623765	1.67009356399654	0.752820501651867	1.65311647720152	1.38070164404847	1.2503440225932	1.66667885004605	1.58013909979033	0.571778076901237	0.702516265885062	33	0.984
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5391946	5392844	103522	.	145449	1.4196346285864	2.70930241186565	3.06804959457021	3.43361835427662	0.764898378075455	8.15759174527384	3.49235145084682	7.67642786046879	2.06405729801727	2.23349097086975	1.96673951109408	1.25590808261677	0.255704019065599	0.599877514140096	0.829491084313065	1.55080575203255	1.30763640708559	33	0.978
11	5243047	5250845	103468	CoTC_ribozyme;HBB	11	5831425	5832176	103649	.	584855	1.41238295819578	2.26615821485397	2.63150752215705	1.10165618513776	0.479208806478405	2.65773726600849	1.75637856007963	5.85817201539346	1.31280700399476	1.06146815947482	0.067923408259305	0.897833265865866	1.06576299682004	0.135018700232766	0.448645172931285	0.848527270375967	2.86593839068118	33	0.969
11	5250846	5268365	103469	CTD-2643I7.1;HBBP1;HBD	11	5145926	5146606	103447	.	-113339	0.824105000425148	1.47797607025616	1.69917112912457	1.80082312471346	0.223872748439106	1.54281254963737	0.358666030870861	5.78112621000391	1.50087439501776	0.608039839969465	0.332735910639578	0.736489074546362	0.532922879630363	0.713997774983302	0.619447730559593	1.49729009356857	0.464851692780498	33	0.505
11	5250846	5268365	103469	CTD-2643I7.1;HBBP1;HBD	11	5272426	5273149	103473	.	13182	3.81103210971618	2.97452906760133	2.78607586510075	3.38790621712783	3.64643228925312	5.54081244593697	2.50033826243793	4.07386517446673	5.86008899809773	4.86025065388028	4.19362658355424	4.21655825865546	4.88833326958288	5.01881397551752	4.25871807366711	4.90621694696009	4.33191830164815	7	0.78
